score,pop,song_a,song_b,bpm
99,72,Cheema Y - Jackpot (w/ Gur Sidhu),Shindy - Was bisher geschah,129<->123
99,72,Ayushmann Khurrana - Pani Da Rang,Atif Aslam - Tere Liye (w/ Shreya Ghoshal),129<->129
99,71,Herencia De Grandes - Ya Borracho,Lari Ferreira - Tudo Que Eu Queria Agora,136<->129
99,71,"DJ Japa NK - Pacman de Panicat (w/ Mc Poze do Rodo, MC Ryan SP, Mc Rodrigo do CN, DJ Guh Mix)",Cheema Y - California Love (w/ Gur Sidhu),117<->117
99,71,"DJ Japa NK - Pacman de Panicat (w/ Mc Poze do Rodo, MC Ryan SP, Mc Rodrigo do CN, DJ Guh Mix)",Lady Gaga - Just Dance (w/ Colby O'Donis),117<->117
99,71,"DJ Japa NK - Pacman de Panicat (w/ Mc Poze do Rodo, MC Ryan SP, Mc Rodrigo do CN, DJ Guh Mix)",Booba - Dolce Camara (w/ SDM),117<->112
99,71,Tito Double P - ME VALE V,"MC Meno K - Lembrei de Tu (w/ Oruam, Fepache)",123<->123
99,71,Felipe e Rodrigo - Ignora (Ao Vivo),Damso - Alpha (w/ Kalash),99<->103
99,71,Drake - Shabang,BTS - Body to Body,117<->123
99,71,Drake - Shabang,Jung Kook - Seven (w/ Latto),117<->123
99,71,Nono La Grinta - Paris,Disclosure - Latch (w/ Sam Smith),123<->123
99,71,Ken Carson - deaf note (w/ Playboi Carti),The Kid LAROI - GIRLS,99<->99
99,71,Michael Jackson - Dirty Diana,"DJ Japa NK - Posso AtÃ© NÃ£o Te Dar Flores (w/ MC Meno K, MC Ryan SP, Mc JacareÌ, DJ DAVI DOGDOG)",129<->123
99,70,Drake - Shabang,El Rabbanito - La Formula,117<->117
99,70,Nono La Grinta - Paris,Mr. Probz - Waves,123<->117
99,70,Nono La Grinta - Paris,Naza - Tout donner (w/ SDM),123<->123
99,70,Gusttavo Lima - Bala Alojada,Sean Paul - She Doesn't Mind,112<->117
99,70,Justin Bieber - DAISIES,Luis R Conriquez - Medusa (w/ Tito Double P),112<->112
99,70,Justin Bieber - DAISIES,Neton Vega - /Turistico,112<->107
99,70,Summer Cem - KILLY MANJARO,Navaan Sandhu - Headliner (w/ Haakam),92<->92
99,70,Summer Cem - KILLY MANJARO,Black Cat - Na Za DÃ©solÃ©,92<->89
99,70,Murilo Huff - SÃ³ Com Ela,Morgan Wallen - What I Want (w/ Tate McRae),123<->117
99,70,"Aaron Modesto - Pra NÃ£o Esquecer De Mim (w/ Mc Magal, MC Meno K, DJ Glenner)",Future - Build a Bitch,123<->123
99,70,Panda - Corpo Nu,Men At Work - Down Under,107<->107
99,70,Fuerza Regida - ANSIEDAD,Alex Warren - FEVER DREAM,107<->107
99,70,La Rvfleuze - Argent Sale,THIZZY52 - BALOTELLI,129<->123
99,69,LACAZETTE - $$$ (w/ JR.),"Shashwat Sachdev - Naal Nachna (w/ Afsana Khan, Irshad Kamil, Reble)",95<->92
99,69,Future - Konnichiwa,"Shashwat Sachdev - Vaari Jaavan (w/ Jyoti Nooran, Jasmine Sandlas, Reble)",129<->123
99,69,Fuerza Regida - caperuza,Jennifer Lopez - Save Me Tonight (w/ David Guetta),80<->83
99,69,GIMS - SPA (w/ Theodora),"Shashwat Sachdev - Vaari Jaavan (w/ Jyoti Nooran, Jasmine Sandlas, Reble)",129<->123
99,69,Murilo Huff - SÃ³ Com Ela,Plan B - Es un Secreto,123<->123
99,69,STELLA LEFTY - Boston,Ninho - Vrais,123<->123
